Package,Test Type,Samples,Source Facility,Hub,Final Destination,Region,Picked By,Event Source,Event Destination,Event Date,Event By,Event Status,Date Picked From Facilty,Date Delivered,Date Received At Final Destination
L2403171543,VL PLASMA,1,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,UNHLS,11/11/2024 17:11,PROSSY NANTALE,Received,08/11/2024 17:28,\N,13/11/2024 01:11
L2403144759,VL PLASMA,1,Rukungiri H/C IV,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Rukungiri H/C IV,UNHLS,11/11/2024 17:18,Joan Kiconco,Picked,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
L2403144760,VL PLASMA,1,Nyakibale Hospital,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Nyakibale Hospital,UNHLS,11/11/2024 17:18,Joan Kiconco,Picked,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
L2403144761,VL PLASMA,1,Burombe H/C III,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Burombe H/C III,UNHLS,11/11/2024 17:18,Joan Kiconco,Picked,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
L2403144759,VL PLASMA,1,Rukungiri H/C IV,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Nyakibale Hospital,UNHLS,11/11/2024 17:18,Joan Kiconco,Received,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
L2403144760,VL PLASMA,1,Nyakibale Hospital,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Nyakibale Hospital,UNHLS,11/11/2024 17:18,Joan Kiconco,Received,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
L2403144761,VL PLASMA,1,Burombe H/C III,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Nyakibale Hospital,UNHLS,11/11/2024 17:18,Joan Kiconco,Received,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
L2403124095,EID HIV,2,Kagando Hospital,Kagando Hospital,UNHLS,Lango,Edson Masereka,Kagando Hospital,UNHLS,11/11/2024 17:18,Edson Masereka,Received,11/11/2024 17:18,13/11/2024 00:41,\N
L2403124095,EID HIV,2,Kagando Hospital,Kagando Hospital,UNHLS,Lango,Edson Masereka,Kagando Hospital,UNHLS,11/11/2024 17:19,Edson Masereka,Received,11/11/2024 17:18,13/11/2024 00:41,\N
L2403144760,VL PLASMA,1,Nyakibale Hospital,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,Nyakibale Hospital,UNHLS,11/11/2024 17:19,Joan Kiconco,Received,11/11/2024 17:18,13/11/2024 02:43,13/11/2024 11:11
